"id","type","model","model_id","site_id","content_id","content_filter_id","lft","rght","title","detail","url","status","priority","created","modified"
"1","ページ","Page","1","0","4","","6","7","トップページ","私たちは、データ・情報通信技術を駆使し、活力みなぎる地域を取り戻し、地域住民に豊かな生活環境を提供します データ・キュービックについてYMFGのグループ会社として地域内のデータ、情報通信技術を駆使し、活力みなぎる地域を取り戻し、地域住民の皆様に豊かな生活環境を提供することを目的に設立されました。事業概要情報の「蓄積と活用」、「収集と発信」を事業の柱とし、地域の事業者様、地域社会が抱える様々な課題の解決に向けたソリューションを提供します。マーケティングなどのデータ分析ソリューションによる生産性向上、AIの活用による業務の高度化、効率化の実現などを支援や、地域の生産者のこだわりや、商品のストーリー性にフォーカスをしたコンテンツ（記事）制作を通じた地域内外への情報発信、ユーザーの行動分析、新商品開発時のテストマーケティングなど、マーケティング支援などを行います。情報活用事業メディア事業","/index","1","0.5","2016-10-06 01:35:44","2018-08-27 23:18:09"
"7","メール","MailContent","1","0","11","","20","21","お問い合わせ","当店へのお問い合わせは、下記フォームの必要事項にご入力いただき、内容をよくご確認の上「入力内容を確認する」ボタンを押してください。※必須項目は、必ずご入力ください。","/contact/","1","0.5","2016-10-06 01:36:05","2018-03-03 11:00:58"
"8","ブログ","BlogContent","1","0","12","","14","15","ニュースリリース","","/news/","1","0.5","2016-10-06 01:36:09","2018-08-27 23:52:27"
"9","ブログ","BlogPost","1","0","12","1","14","15","ホームページをオープンしました","概要が入ります。概要が入ります。概要が入ります。概要が入ります。概要が入ります。概要が入ります。概要が入ります。概要が入ります。概要が入ります。概要が入ります。概要が入ります。概要が入ります。概要が入ります。概要が入ります。概要が入ります。概要が入ります。概要が入ります。概要が入ります。概要が入ります。 詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。","/news/archives/1","1","0.5","2016-10-06 01:36:09","2018-08-27 23:52:27"
"10","ブログ","BlogPost","2","0","12","1","14","15","新メニューが完成しました。","新メニューの概要が入ります。新メニューの概要が入ります。新メニューの概要が入ります。新メニューの概要が入ります。新メニューの概要が入ります。新メニューの概要が入ります。新メニューの概要が入ります。新メニューの概要が入ります。新メニューの概要が入ります。 新メニューの詳細が入ります。新メニューの詳細が入ります。新メニューの詳細が入ります。新メニューの詳細が入ります。新メニューの詳細が入ります。新メニューの詳細が入ります。新メニューの詳細が入ります。新メニューの詳細が入ります。新メニューの詳細が入ります。新メニューの詳細が入ります。新メニューの詳細が入ります。新メニューの詳細が入ります。新メニューの詳細が入ります。リンクのテスト電話番号リンクのテスト","/news/archives/2","1","0.5","2016-10-06 01:36:09","2018-08-27 23:52:27"
"11","ブログ","BlogPost","3","0","12","2","14","15","記事タイトルが入ります！","ブログ記事の概要が入ります。ブログ記事の概要が入ります。ブログ記事の概要が入ります。ブログ記事の概要が入ります。ブログ記事の概要が入ります。ブログ記事の概要が入ります。ブログ記事の概要が入ります。ブログ記事の概要が入ります。ブログ記事の概要が入ります。 ブログ記事の詳細が入ります。ブログ記事の詳細が入ります。ブログ記事の詳細が入ります。ブログ記事の詳細が入ります。ブログ記事の詳細が入ります。ブログ記事の詳細が入ります。ブログ記事の詳細が入ります。ブログ記事の詳細が入ります。ブログ記事の詳細が入ります。ブログ記事の詳細が入ります。ブログ記事の詳細が入ります。ブログ記事の詳細が入ります。ブログ記事の詳細が入ります。ブログ記事の詳細が入ります。ブログ記事の詳細が入ります。ブログ記事の詳細が入ります。ブログ記事の詳細が入ります。","/news/archives/3","1","0.5","2016-10-06 01:36:09","2018-08-27 23:52:27"
"26","ページ","Page","8","0","16","","12","13","会社概要","株式会社データ・キュービックの会社概要です。 会社概要会社名株式会社データ・キュービック代表者矢儀　一仁本店所在地山口県下関市竹崎町四丁目2番36号（山口銀行本店内）設立年月日平成30年6月22日資本金5,000万円（資本準備金 5,000万円）株主構成山口フィナンシャルグループ：80％Fusic：20％事業内容【情報活用事業】地域内事業者が抱える経営課題に対するデータ管理・分析・改善、AI活用による効率化支援?データ分析サービス?ＡＩソリューションサービス?ＡＩの普及促進活動【メディア事業】地域情報の効果的な発信および広告サービス、プロモーション支援?広告サービス?プロモーション支援サービス社名の由来社名株式会社 データ・キュービック　（DATA QVIC）由来Quality and Vitality of our region, improved with Information and Communication Technology私たちは、データ・情報通信技術を駆使し、活力みなぎる地域を取り戻し、地域住民に豊かな生活環境を提供します。意味キュービックは立方体を指すことから、（1）地域住民の生活質の向上（2）地域企業の活力の向上（3）そして、それによりもたらされるYMFGの持続的発展の3方向を、同時実現することを意味します。事業理念と事業ビジョン将来の理想像（Vision）私たちは、データ・情報活用のプロ集団として地域に誇りと活力を生み出します。存在意義・使命（Mission）地域内企業の生産性向上に貢献し、競争力を高めます。地域や地域内企業の魅力を多くの人に届けることで、稼ぐ地域をつくります。行動基準・方針（Policy）地域情報に新たな価値を見出し最適なソリューションを提供します。信頼性を確保するために、常に正確かつ最新の情報を提供します。生産者、サービス・商品提供者の想いやこだわりを大切にします。アクセスGoogle Maps を読み込めません。管理画面で正しい住所が設定されているか確認してください。","/company","1","0.5","2017-01-05 23:06:26","2018-08-06 16:31:03"
"27","ブログ","BlogPost","4","0","17","","16","17","テスト投稿","テスト・テスト","/blog//archives/1","1","0.5","2017-10-02 16:44:09","2017-10-02 16:45:16"
"28","ブログ","BlogContent","2","0","17","","16","17","テストブログ","","/blog/","1","0.5","2017-10-02 16:45:15","2017-10-02 16:45:15"
"36","ページ","Page","16","0","27","","8","9","情報活用事業","YMFGのグループ子会社として、地域内の事業者の皆様が抱える様々な経営課題に対して、データ分析およびAIの導入・活用を通じて業務の改善や効率化を推進し、地域内企業の生産性を高めて地域経済の活性化に取り組みます。 情報活用事業YMFGのグループ子会社として、地域内の事業者の皆様が抱える様々な経営課題に対して、データ分析およびAIの導入・活用を通じて業務の改善や効率化を推進し、地域内企業の生産性を高めて地域経済の活性化に取り組みます。データ分析サービス地域企業に対するデータ・ドリブン・マーケティングの実行支援お客様からデータをお預かりし、各種ツールを活用してデータ分析を行い、お客様のマーケティングに役立つ情報として提供します。社内に蓄積された、従来は分析に用いられることが少なかった大量のデータを有効に活用し、経営の高度化や業務の可視化・効率化の実現を支援します。テーマの抽出や整理、情報の所在の整理を通じて、各社に最適なソリューションを提案します。企業活動に役立つ様々なデータの提供各産業分野や企業等が保有する様々なデータの所在を把握し、同種データの統合・時系列データの収集・異業種データの組み合わせ等を検討し、それらを実現することにより、データの価値向上を目指します。各種統計情報やオープンデータを含む外部データと社内に蓄積された情報を組み合わせることにより、従来のデータ分析の枠を超えた、新たな価値提供を目指します。AIソリューションサービスAI導入による業務改善・効率化支援AI活用の領域を明確にした上で、実現に向けて必要となるデータや技術の選定と実際の導入を支援します。各社の課題解決に向け、AIをどのように活用すべきか、社内外のデータをどのように組み合わせて取り組むべきか、お客様と共に実現の方策検討に取り組みます。AIを取り巻く各種の基礎技術や応用技術、強化技術を適切に組み合わせて、企業の有する専門技術の継承等に取り組みます。アナログデータからデジタルデータへの移行支援文字認識や画像認識等にAI技術を活用することにより、これまで人の目に頼っていた情報認識のデジタル化（データ化）を支援します。AIの学習をより高度化・最適化することを目指し、社会インフラや工場を始めとする様々な情報のデータ化支援に取り組みます。AIの普及促進活動AIに関する基礎知識を習得するためのセミナー実施AIおよびデータ利活用の普及促進のため、AIの持つ可能性やデータの有効活用に関するセミナーを行います。地域内の事業者や学生の皆様、その他様々な方への情報提供を通じて、地域のデータリテラシーの向上に取り組みます。AIやデータ分析を活用した課題解決型の実践セミナー実施参加者が実際に抱える課題やデータを用いて、課題解決に取り組む実践セミナーを行います。複数の事業者同士で連携して地域や企業の課題解決に取り組むような場作りにも積極的に取り組みます。","/data","1","0.5","2018-07-28 15:03:51","2018-08-30 12:14:54"
"37","ページ","Page","17","0","28","","10","11","メディア事業","YMFGのグループ子会社として、地域内の魅力ある商品・サービスを発掘し、地域の貴重な資産・資源として企業や人の想いを、より魅力的な形で世の中に伝えていくことで、認知度を高め消費を促し地域経済の活性化に取り組みます。 メディア事業YMFGのグループ子会社として、地域内の魅力ある商品・サービスを発掘し、地域の貴重な資産・資源として企業や人の想いを、より魅力的な形で世の中に伝えていくことで、認知度を高め消費を促し地域経済の活性化に取り組みます。広告サービスグループネットワークを活用した地域資源の発掘支援YMFGのネットワークを活用して地域内企業や商品の価値・魅力を見出し、発信します。&nbsp;効果的な情報発信によるブランディング支援企業の多面的な魅力訴求や有益な情報発信を通じたブランディング支援いたします。ヒアリングを通じてクライアントの意思を尊重したブランドイメージを具体化させ企画・制作を行い提案します。プロモーション支援サービスアクセスデータを活用したマーケティング支援弊社が運営するメディアへの掲載記事へのアクセスデータを元にデータ分析を行い、マーケティングデータとして提供いたします。&nbsp;プロモーション企画の提案実行支援アクセスデータ分析結果および商圏エリアデータを元に効果的なプロモーション企画を立案し実行支援を行います。Webメディア運営地域情報Webサイト「ここいろ」の運営地域で熱い思いを持って活動する方々、素材や製法にこだわりを持って作られたモノ、地域内外からぜひ訪れてほしいスポット等に、秘められたストーリーと思いを伝える記事を制作し広く発信します。","/media","1","0.5","2018-07-28 15:06:05","2018-08-30 12:16:32"
